text	type
	
这种平台，呵呵了。	
民贷天下，普通标很多，我天天转让。因为看到银行存管问题多	0
很抱歉给您带来了使用上的不便和困挠。上线至今，珠宝贷一直致力于打造合法合规的线上投资理财平台。银行存管因为技术要求比较高，相应的普通标和存管标的互转功能还在紧急的开发中，等相应功能开发完善后，平台会实行数据的稳步迁移。后续珠宝贷也会按照监管细则的条例，只发存管标。	
"人人贷的U计划，利息都都付不起，不知道出来干什么
QQ图片2016122409额3439.png (207.53 KB, 下载次数: 2)
下载附件  保存到相册
2016-12-24 09:44 上传"	
这个垃圾平台又在打马虎眼了   标明的收益不给就是欺诈   越做越差劲  早晚投资人全跑光	1
这个平台是有点小骗人。去年续投上了一次当。续投当是利率是10%。到期就变成9%。反正不投就是了。加息券，利率标明有什么用，又不足额兑现。	1
店大欺客，一句“只是预期，实际可能达不到”，看来是真把自己当银行了，吊吊吊	1
"想起了当年读书时候交费
 学校都申明多退少补
 娘希匹 次次要补。。。。。。。。。。。。"	
目前大多数平台是按照公布的年息给的，也就说是固定利息，但也有少数平台做的是预计利息，因此时间收益可能低于广告显示的收益，至于有没有高于预计收益的，这个目前我还没有遇到过，既然选择该平台，就要受到该平台的制约，当今的世道，钱在谁手里谁就有话语权。感谢楼主给我们提供又一个选择因素。	0
人人贷居然这么多流氓啊	1
我很厌恶这个平台，坚持每天去给他差评，尽管前几天网贷天眼与他相勾删了十几个差评，也不影响我每天来，有人退出少损失，我就没白给差评。	1
我很厌恶这个平台，坚持每天去给他差评，尽管前几天网贷天眼与他相勾删了十几个差评，也不影响我每天来，有人退出少损失，我就没白给差评。	
都去给他差评去，把他从排行中拽下来。	1
这还行吧，最起码安全	0
有这种事？我没有遇到过哦，如果下次我遇到就果断撤	0
我开户失败就没投资了	0
不会吧，不要乱黑平台。	0
路过！坚快不进人 人 贷！	1
真的吗？14年曾投过一年的优选计划，13点几的利率都足额付的。现在这么低的利率还不足额付，这节操碎的...	0
还10万在里面····	0
有的平台的真的是不负责任，越做越差	0
这么大一个平台不会吧	0
现在主要黑拍拍贷和人人贷，集中黑。	0
不幸中的万幸，本金拿回来了，阿弥陀佛。	0
没了解过人人贷，原来信誉这么不好的啊	0
有这么可怕吗……没了解过但是排名好像也是比较靠前的	0
从我的经历，人人贷不是一个诚信的平台。我早就陆续撒了。	1
这评论怎么都是负面的啊，都不敢进了	0
居然排名还那么靠前诶	0
评级中他家的名次下降了	0
这评论怎么都是负面的啊，都不敢进了	0
确实是有些敷衍的感觉吖，应该给出一个合适的说法	0
谁都不投，看他死不死，就知道骗人骗钱，欺负投资者！	1
真差劲！离死不远了	1
跟我来撸川惠好，哈哈，18%的固定收益，还有奖励http://www.chuanhuicf.com/Promotion/add/u/7395	
是你自己傻，这么多散标放着不投，要投U计划，利率低的可怜还只是预期收益，我在人人贷从来不投U计划，回款只买债权转让	0
路过 学习了	
这种平台黑也没用，根本不可能倒	0
看来国家的政策好啊，不能标固定收益，要说预期收益，平台发标时预期收益9.6%  到期兑付时收益就成0.18%?	0
看来国家的政策好啊，不能标固定收益，要说预期收益，平台发标时预期收益9.6%  到期兑付时收益就成0.18%?——————人人贷这样属不属于欺诈，我也在人人贷碰到一个闹心事。	
最近好像人人贷的负面蛮多的	0
一帮子人在这你唱我和的没意思，我投资人人贷4年了从来没遇到过达不到预期的这种情况。不过如果有人遇到了我倒是希望能拿出充分且有效的论据。各大平台，好像就这热闹的讨论人人。人人投资群体偏成熟，一般出来说话的很少。根据人人的理念，不是天天看收益，到期就到账。你买的标的需要一个月才能产生收益，如果要资金流动性，需要有人接你的债券。很多年轻人投了二十多天就吵着没收益。这又不是货币基金。天天能看收益随时到账的必是资金池。做的账面好看很容易，难的坚持真实。做投资要的是理性不是只看到收益。只是在乎收益是多少的人不适合理财投资。投资人人看的是他的运行模式更风控，还真没在意收益是多少。投资一个平台，看中的是能否跟他一直走下去。	0
"曝光贴发出6、7天了，也不见平台的人出来解释一下。
 宁可信其有，不可信其无！"	
这么大的胆子	
"觉得深鹏金服真的是太逗了啊，你说你昨天发了公告又删了，就删了吧，今天上午非得再发一个公告说什么今天晚一点会有新的方案出台

图片 1.png (89.03 KB, 下载次数: 1)
下载附件  保存到相册
2016-12-23 23:53 上传

 
 这尼玛的都马上晚上12点了，你的详细方案呢，简直是坑定啊，又尼玛套路！！！

图片 2.png (100.59 KB, 下载次数: 1)
下载附件  保存到相册
2016-12-23 23:54 上传"	
中套了！咋整捏？人呢？	
有在北京的吗，去公司看看	0
"开始骗人说系统受黑客攻击所以不回款并且周五恢复;第二次发公告说停业;第三次发公告说第二次信息错误当天晚点再发新公告;当天已经过了也没见公告;一次又一次的骗人,这样的平台发的公告同放屁有什么区别.关键是平台还在发标骗人,还想多捞一点跑路"	1
除了报警，还有就是烧香祈求马恩列斯毛保佑	
这下老板真不知道在哪了。。。。	1
这样的平台只能自求多福了	1
谁在北京去公司看看，有没有人组织下，看看怎么维权	
"投资人：老板在哪儿？
 平台：老板跑了！
 投资人：……
 平台：老板回来了！正在出兑付方案！
 投资人：方案呢？
 平台：方案……（开始画饼）"	
中套路！  还比较深！	1
报警了，，然而并不被受理，，怎么抱团	1
如果有在盈客贷投资的朋友请速进群维权，欢迎加入壹拍贷/盈客贷维权群，群号码：605287146，同时大家多提供信息。	
这样的平台我是不会投资的，既然投资了就得对自己的钱负责	0
哪里的平台？	0
没听过的平台 呀   可要谨慎	0
华赢凯来 从九月份开始到期的本金利息全部停止 也不让赎回 一直到现在毫无说法 很多投资人去报警了 但公安不立案 政府不管 法院推到公安 这几万京城百姓的血汗就要打水漂了  希望媒体记者为百姓申冤。	1
这个平台要挂！！！	1
这个问题就是逾期不候	
难怪骗子那么多，根本没人管啊。。。	0
政府不作为啊	0
监管部门不作为的时候多了去了	0
"华赢凯来一推销巴铁来集资的时候，就有很多人喊是骗子了。
 巴铁吧从7月份就开始争辩骗子了。
 投资前多看看有没有负面啊"	
收到过街上派发的华赢凯来小广告，不过向来对这类投资理财公司持严重怀疑态度，现在看来是正确的。	0
怕是要雷了，还是小心为妙	1
"自从进入这个不台，逾期太高，让人无法相信他们的风控崔收等一系列措拖，
 
 
 逾期天数：  -   
 

用户名	逾期本金/已还金额/投标金额	提供催收线索	逾期天数
 （曾最大逾期天数）	催收成功可能性	曝光资料
pdu4712276101 	￥8.54 / ￥35.42 / ￥50.00	[url=]提供催收线索[/url]	1 天（20 天） 	81%	
pdu0411338418 	￥17.30 / ￥87.80 / ￥100.00	[url=]提供催收线索[/url]	1 天（2 天） 	81%	
pdu64140000 	￥1.61 / ￥86.13 / ￥100.00	[url=]提供催收线索[/url]	3 天（4 天） 	81%	
pdu20082427 	￥8.54 / ￥35.45 / ￥50.00	[url=]提供催收线索[/url]	5 天（14 天） 	61%	
pdu4736626574 	￥16.25 / ￥17.65 / ￥100.00	[url=]提供催收线索[/url]	7 天（0 天） 	61%	
pdu2515238474 	￥34.16 / ￥141.31 / ￥200.00	[url=]提供催收线索[/url]	9 天（5 天） 	61%	
pdu8447778733 	￥16.79 / ￥52.95 / ￥100.00	[url=]提供催收线索[/url]	16 天（0 天） 	61%	
pdu5573026140 	￥16.44 / ￥8.72 / ￥50.00	[url=]提供催收线索[/url]	39 天（0 天） 	23%	
pdu7762048507 	￥33.32 / ￥35.18 / ￥100.00	[url=]提供催收线索[/url]	45 天（4 天） 	23%	
pdu2074686330 	￥18.00 / ￥4.73 / ￥27.00	[url=]提供催收线索[/url]	103 天（0 天） 	13%	
pdu84345472 	￥66.65 / ￥17.55 / ￥100.00	[url=]提供催收线索[/url]	103 天（0 天） 	13%	
19870615l 	￥120.39 / ￥397.49 / ￥500.00	[url=]提供催收线索[/url]	106 天（7 天） 	13%	
llx1184 	￥32.62 / ￥0.26 / ￥50.00	[url=]提供催收线索[/url]	118 天（0 天） 	13%	
pdu20087547 	￥536.77 / ￥1,128.47 / ￥1,500.00	[url=]提供催收线索[/url]	176 天（33 天） 	13%	
yzc1009059076 	￥128.56 / ￥66.68 / ￥190.00	[url=]提供催收线索[/url]	373 天（0 天） 	4%	
[url=]点击查看当前质保计划已赔付的标的(1个) >[/url]"	
没多少，继续投拍拍！	
不管雷声多大，拍拍始终屹立！元芳：这是为啥？狄仁杰偷偷一笑，还是让来揭开谜底吧，因为拍拍才是地球第一雷，那你说还是雷的说法吗？如此，拍拍永不雷！	
拍拍贷有风控吗？哈哈。	1
"你这还行吧。
 其实就眼下来说投拍拍的赔标还是挺容易的。"	0
曝光一下你的标利率多少	
"你在看看这个
逾期.png (55.46 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-24 13:30 上传"	
不逾期不是拍拍贷款了吧！	
拍拍贷就是一个不负责任的平台，他要的交易量，要的是管理费，管你本金能不能回来。	
拍拍贷是一个不负责任的平台，它要的是交易量，要的是管理费，才不管你的本金回不回得来。	
想找死，投拍拍	1
这就是拍拍贷的个性	
拍拍贷风控烂不说，最重要的是本身可以把借款人披露信息做得更透明，更详细让投资人可以选择更好，但是拍拍贷就是故意设置不透明，其目的就是满标收手续费！！！！管你死活	
很后悔的投资，没有见过比拍拍贷还烂的平台，。	1
一个只有点头之交的朋友在P拍贷借了钱，现在不还，狗X的这家伙留了我的电话，P拍贷催收打电话让我承担搜寻借款人的任务，你*的辣鸡P拍贷，当初他借钱的时候你们怎么不打电话问过我啊！想让我一个不明真相的吃瓜群众来趟浑水，可见这辣鸡平台的风控是什么水平	
同情楼主，你投的哪类标？是彩虹计划吗？	0
和拍拍贷谈风控，你这不是在开玩笑嘛，哈啊哈哈	1
赔标也只赔部分，有毛用	0
我投民贷天下，广州政府产业基金投资的	0
我投民贷天下大约1年，撤出了	0
"360截图20161225161537363.jpg (116.06 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-25 16:17 上传"	
"信用贷有不违约的么？人家已经说明了不保本，你想要安全可以投保本的标啊！
 就算给你想冒险博取搞收益，也应该极度分散，每个标最多50块。"	0
投资需谨慎，祝大家远离雷区	0
平台不是分很多种产品类型的嘛！高收益就高风险，要么就选稳健低收益的吧。	0
	
拍拍贷不错吧 真正的中介平台	0
"楼主怎么不同时公布收益？
 拍拍贷本身的模式就是要靠高利息收益覆盖坏账的。（所有的银行都是如此），你只看坏账不看赚的？
 拍拍贷就是每天都雷你，你自己控制雷。"	
"12月15日 通过代理群做了2个月的念钱安，当时和渠道再三确认可以参加平台的红包活动，后续在15~18号共做了35万的念钱安2个月标的，结果到了19日，渠道通知渠道不享受平台活动，和渠道沟通无果，去找平台，平台搬出了一套的什么和渠道合作协议，什么渠道用户不参加活动说明的话，并明确和渠道沟通,接下来就是无止境的扯皮，大家可以去念钱安的官网看看，当时看了网站的活动也是：本活动针对所有念钱安用户，而且渠道也确认可以参加，结果变成了这样永无止境的扯皮，念钱安作为新平台 公然耍赖，虽然我还在车上，但是还是建议大家擦亮眼睛，不要投这种无赖 平台，今天可以赖这个，明天就可以赖你本金。该渠道号lsqd121010  大家做单小心这个渠道号"	1
楼主真有钱，新平台敢上35万	0
事情已经解决 此事已经结束，平台必须给赞一个	0
楼主撸得太狠了，平台受不了鸟。。。	
不能参加活动，我知道的，那是你上家在坑你，找你上家要赔偿吧	0
"现在都流行黑国资系和上市系吗
 
 有用吗"	0
现在的诈骗渠道就喜欢找你这种智商的，，，	0
楼主想太多了  一般渠道和平台活动不兼得	0
楼主有这么多号，羡慕中	
代理人的话你也相信，想两头一起吃啊，平台都要被你撸垮。	0
你特么撸毛还撸的高大上了	0
楼主是SB，整天那里黑 这里黑的，生怕别人不知道你是羊毛党一样的	0
药业贷、亿元宝两平台的状态，经营现状，还是看看药业贷官方网站吧。	0
没有跑路最好，不然投资们又要流泪了	0
跑路应该不会的，放心吧	0
估计暂时不会跑路，不然也不会这么大费周章	0
"深鹏金服（原“老板在哪儿”）发布《致歉信》，深鹏金服法人陈杰表示，因对运营风险评估不足，风险控制把控不力，导致部分借款客户发生逾期，为保障投资人合法权益及经济利益免受损失，决定从2016年12月22日开始停止发布借款标的，对深鹏金服所有投资人的账户进行清算处理，停止线上业务。
                                                                         
111213oxgjs64jjrrqqugq.png (135.68 KB, 下载次数: 1)
下载附件  保存到相册
2016-12-23 16:27 上传

 
 随后，深鹏金服官网删除了该公告此外，根据网站公告显示，深鹏金服12月16日还联合行业第三方平台进行营销活动，距离昨日发布《致歉信》还不到一周。全是套路，大家不要相信！
                                                                         
111252wjm2s4jmpilwljma.png (43.18 KB, 下载次数: 1)
下载附件  保存到相册
2016-12-23 16:30 上传

 
 这明白着就圈钱，真没听说过，发了[url=http://baike.wdzj.com/doc-view-3226.html]清盘公告还能删了不承认的，反正不清盘也[url=http://baike.wdzj.com/doc-view-3156.html]提现困难了估计，投资人还是慎入火坑。"	
返利魔方预测成功，幸亏早已经远离了雷妈妈，不然又被坑了啊。。。。。	
卷妈妈已经不是劵妈妈了，而是雷妈妈	
券妈妈在推平台中依然有高危平台，大家小心吧 理性投资	0
说句实话，券妈妈推的平台有很多小平台，关键是你为什么要投呢？？？？自己贪心才是根本啊。。。。券妈妈上面不是有一些靠谱的平台吗？想赌就不要怨。。。输了怪自己吧	0
这种事情也是没谁了	
雷妈妈出名了！	
别拿券妈妈出气，只怨你自己。别人只是个第三方返利平台，也是受害者。没出事前有多少人知道会雷？国资，风投都有跑路的。	0
大家小心吧 理性投资	0
券妈妈现在关闭了所有群聊天，只能小窗，这就是掩耳盗铃啊	
雷妈妈还是受害者啊，还是想说因为又少了个拿回扣的平台？我认为按照之前雷妈妈标榜自己是有风控审核这点，那么其实就是在变相的给自己推广的平台履约能力，以及对其推广内容里的各项描述真实性做了担保，严格来说，雷妈妈是要负一定的担保责任的，除非它承认自己的推广内容存在虚假的情形，那就严重得说可以被认为是联合平台进行zhapian了。而现在之所以看起来没事，并不是因为其没有责任，而是因为这边的法律环境实在是太zaogao了，法律根本缺失了追究和执行力。	
"怀疑他共同诈骗没问题。 但“有担保责任的”是个非常严肃的法律角色，从经济上讲，次级债担保的成本之昂贵，根本不是这么轻易就得担上的。
 
 
 债务担保是什么？ 债务的无限连带责任！ 经济上的同生共死关系，父母子女夫妻在大部分情况下都不对彼此承担此责任。 可许多天真的P2P投资人却总以为出了事， 这个应该兜底，那个应该负责。  做广告的，第三方的， 甚至发证的等等。
 
 
 像雷妈妈这种层次的利益攸关方，能吐出所得利益就不错了。 当然，共同诈骗另算，那就看证据了。  投资人唯一肯定能做到的，就别再相信他们了，担保责任什么的，纯粹是想多了，别说他们，各种平台的各种干爹干妈们，得承担债务担保责任的都不多。"	
深鹏金服提现新方案，大家怎么看	0
投资有风险，入市需谨慎	0
8楼难道不知道邀请注册有利益的吗	
券妈妈这事都知道了，谁还上当谁傻子	
"拍拍贷为了自己的利益，风控放弃职守，放任借款人违约。导致逾期成灾，坏账频发！"	1
希望拍拍贷不要成为招财宝啊，尽快解决问题	0
周瑜打黄盖，一个愿打一个愿挨！拍拍贷历来就这样，谁让你选择投这个了	1
幸亏老娘没投这里 当初还有朋友推荐	0
想找死，投拍拍	1
拍拍的催收有计划吗？不还的话，对贷款人有什么措施没有？审核不严，就没责任吗？把这些老赖都放过了。以后老赖只会更猖狂。	0
不是赔标逾期赔付么	0
人人气越来越低  投资人数越来越少	
拍拍贷这种烂平台，大家都来曝光它，搞臭它。叫它到处忽悠人，骗人，坑人。	1
尽快解决问题	0
赔个球，10％那跟不赔有区别吗？	0
居然有一次都不还款的	
聪明人一般都不会投拍拍贷的，拍拍贷，老赖的天堂，投资人的坟场；投资之前不仔细看网站说明，凡是仔细看过的再投就是傻了，真是不把自己的钱当钱呀，一直质疑拍拍贷上的投资人都是非傻即富的人，这么多平台不投，非投这个平台，真是可怜之人必有可恨之处。	
"很正常。 你投的20%左右收益的信用标，还指望没有逾期没有坏帐，那只能投由老赖自己开的平台了。
 对于普通投资者来说，拍拍的12%的赔标还是比较值得投资的。"	0
不能承担风险，投11-12陪标啥，有投陪标不赔的吗？	0
"我也遇到这样的，有的人借了钱就没打算还，本金一次都没还。。。。
 虽说平台不会雷，但是本金丢出去收不回来还是郁闷，果断撤了。。。。"	
"你这个雷了近一半啊！！！
 拍拍贷基本只管收手续费，钱追不追的回来跟他们没啥关系。。。"	0
还钱还钱，不还没完！	
"楼主怎么不同时公布收益？
 拍拍贷本身的模式就是要靠高利息收益覆盖坏账的。（所有的银行都是如此），你只看坏账不看赚的？
 拍拍贷就是每天都雷你，你自己控制雷。"	
拍拍贷感觉还是不错的	0
"根据官网介绍：
 网交所(www.wjschina.com)是由上海直荣金融信息服务有限公司倾力打造的互联网网金融平台，2015年与中原银行股份有限公司开展全面战略合作。网交所总部位于上海市黄浦区互联网金融产业园，股东及管理团队均在金融领域经验丰富。团队成员在国内外金融领域从业逾30年，包括曾就职于花旗银行、富国银行、渣打银行的金融专家。网交所公司架构采用美国花旗银行的管理运营模式，在风险把控方面采用国际先进的信用评估计量模型（credit risk modeling）并结合中原银行专业的实地风控经验，严格筛选贷款项目，确保理财人每一笔投资的本息安全。

网页上以前写的由中原银行保本保息的，现在 已经疑似跑路了。不知道怎么办。。。"	
国家都不承认保本保息，不要相信平台说哲学	0
淡定些	
人家不是说了所有线上投资都还清了吗	
广告法都说了，保本保息这种是违反广告发法的	
金佳目前所有的标都是自融，资金成本已经达到了18%【羊毛返点7%+利息1%+平台活动10%】，且这是以月为单位，完全是**，只要后续资金跟不上，将马上破灭	1
一个信贷就能借250多万，而且不提供任何的资料，甚至连姓名都没有，而且还有风险提示说投资人风险自担，平台不负任何责任，自己审核风险。可是任何资料都没有怎么能审核的了呢？这个平台纯粹是个坑爹货，完全是为了坑羊毛党而存在的。	1
金佳也是高返啊  月返至少3.8	0
金佳金融你投多少钱，一月有18%呀？我最高才看到所有收益算下来一共6%左右。别说是投一百，一千元撸羊毛有18%收益哦？	
平台活动10% 你做梦没有醒吗	
"尊敬的网络用户：
       感谢您对我司平台的关注！
       我司平台的标的系由债权人提供其正在持有中的信贷、房贷或车贷的合法债权，原借款人按约定日期归还借款。本公司与第三方合法合规的支付机构合作，保证每位投资者投入的资金皆在第三方资金账户的托管中，平台仅为信息中介，撮合债权人与投资人的投资交易。
       平台自运营上线以来，平稳运行，得到广大投资者的青睐，未出现任何一笔逾期给付及呆账情况。
       在2017年，平台会陆续推出新型理财产品以满足不同投资者投资需求，感谢新老用户对我司的支持。"	
妈妈资本已经处于失联状态，提现没人处理，电话没人听，企业QQ永远没有人	1
已经雷了，圣诞快乐。	1
附近的人去看看	
提现会到帐的	
你怎么知道	
我现在只能祝你圣诞节快乐了	
"一般来说，平台应该没事，毕竟是大平台，企业股东一大堆
 
 不要着急"	0
无名鼠辈，一看就知必雷。	
"暂时不用担心
 
 我查了下，股东中有两个比较大的企业，占股40%左右，其中一家是上市公司
 
 平台多少有些上市系成本，跑路不可能，毕竟实力摆在这"	0
本人提现已经到帐，请说不到帐的拿出证据来	0
恭喜，已雷	
"21.png (42.84 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-23 14:00 上传
22.png (40.97 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-23 14:00 上传
23.png (21.62 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-23 14:00 上传
24.png (64.71 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-23 14:00 上传
25.png (72.7 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-23 14:01 上传
28.png (37.71 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-23 14:01 上传
29.png (53.43 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-23 14:01 上传
30.png (34.01 KB, 下载次数: 0)
下载附件  保存到相册
2016-12-23 14:01 上传"	
更正 应为 东财沃富  打错了 不好意思	
也是没谁了 ！	
仔细看一下原判决，貌似不是借钱，是股权转让被告没给钱，大不了再把股份还回去	
马玉峰他们涉及的案件很多，中国裁判文书网上都可以查到	
"那是历史，比如说欠招商银行起诉那个，招商银行早就撤诉了
 
 这个案子是股权转让没给钱
 
 
 唯一一个欠钱没给的案子好像是欠一个小贷公司几百万，参考马玉峰持有的公司股份，应该问题不大
 
 
 握握贷待收压根也没多少钱，深创投和红土创投认缴500万，这个两个创投有多牛你可以去查查"	
做哪个行业，诚信很重要！	
去年逾期的时候跟深创投和红土创投打了电话，对方不认	
已经进了失信被执行人 黑名单 名下资产都已经被转移  招商银行撤诉的不知道在网上 是怎么查的 ，请那位贴图人教教我们大家 怎么在网上查找的 ，还有如果真的招行撤诉了，那其他案件是否都撤诉了，在哪查找，如果都撤诉了 怎么还会进失信被执行人 黑名单 ，反正投的钱都是大家自己的 ，自己的钱自己负责，想想雷了的平台有几个 能全部要回钱的 又要回了多少  即使要回了 又要话费多少时间精力多少成本	
我是说招行撤诉，没说全都撤诉，有一个法院的案子哪怕一万欠款，也可能进黑名单，招商撤诉的裁定我截图了，在下一层楼里	
这是招商银行撤诉的那个裁定，启信宝上查的	
不认为啥工商里有	
前几日联系上说是在处理羊毛档奖励问题，近两日本金提现不到账，到期不回款了，qq不在线，电话无法接听，完全是摆设，已是半雷了吧!	1
珠三角的集体到深圳报警吧，能去的都去一下	
老子又没推荐，就试探投资1000，回款提现也不到。有没有人建立个维权群啊	
一言不合就跑路	
像你这样的垃圾曝光帖吓唬一下小白倒是可以。有点经济常识的人都知道这平台绝对没你说的那么低级，我都怀疑你是不是在搞反面营销。	0
有没有附件的人去现场看看啊	
现在取名叫“妈妈”的平台，都是妓女院的老鸨子妈妈的德性！有一个算一个！	
确实不到账，电话QQ都打不通	1
有没有附件的人去现场看看啊	
当他们在找借口不回款的时候，我在想就已经在想着跑路了吧	
"暂时不用担心
 
 我查了下，股东中有两个比较大的企业，占股40%左右，其中一家是上市公司
 
 平台多少有些上市系成本，跑路不可能，毕竟实力摆在这"	
楼主S B ，要是平台没雷，你全家死，**，好好的，平台都回复了，在查刷子，一天黑 你麻 痹 的	
提现正常到帐，有图有真相。对于黑子，任何人都无奈	0
之前晚了几天	
黑嘴一时爽 ，全家火葬场   我就一句话	
我是去年这家平台投的，当时看到宣传感觉很吊，有很多明星做了广告，有事国企背景就投了，一个月，后来就投了年标，因为收益高 ，而且也感觉还不错的平台，就投了年标，最近年标快到期了，就上去看看，差点吓死我，平台被什么草根投资收购了，连地址都换了，钱虽然提出来了，还是很怕，为什么就不预先通知呢 收购这么大的事情，后来查了才知道草根也是国资背景，貌似平台做的还不错，不过不晓得为什么没上榜，所以年后再看吧，还有就是 地址变了 ，也没啥公告和通知，有没人投这家平台的  会不会出问题啊  希望有人看到，提个醒。。。。	1
楼主你是小白啊，草根投资都不知道？	
平时太忙  现在年底  比较闲 才有时间看看	
这个平台怎么样  看你等级 应该老司机了吧  带带我	
草根草根草根，。。。。。	
你一惊一乍吓死人了，这家我投了快一年了，还以为出事了呢，你投个年标都不看微信推送和网站公告的吗？早八百年前就通知了，你这种真不适合玩P2P	0
一般不怎么看，	
中投融上海总部今年搬家了，微信号今年还搞过庆祝活动，那当然还是在上海啊，草根是后来发公告告知融资的。你这样的真劝你不要玩P2P了，事情都没弄清楚呢，先一惊一乍的，我现在还投着这家，差点被你吓出病来	0
应该老司机了吧  带带我	
我看你们都像老司机！！	
什么草根好大的口气啊...................................	
什么好大口气啊，你在说什么呢？	
投资有风险，理财需谨慎	0
现在这种消息平台不会一个一个的通知，一般出个公告就行了。你自己不上去看是不好怪别人的。	0
噢噢 看的我眼花缭乱啊 不过年底都正常兑付应该问题不大 过完年还在 就继续	0
好麦 你家麦子怎么卖	
看出来了，楼主是来搞笑的，为中投融打广告吧。	
是的呀，你真是好眼力，中投融给了我一千万，让我打广告，还有上面那麦子，他家给的少，只给了八百万，，	
有点傻吧你。。。。。无聊	
什么都是假的，未有跑路不是假的，这也太假了	
草根吃了中投融，牛，B轮了真有钱	
明星做的广告不一定就是真的，名明打广告也是收了费的，他可不管是真是假	0
你这样投p2p哪天平台跑了都不知道，投p2p收益高风险也大，要时不时的关注平台和行业动向。	0
看楼下几个和楼主对话，简直笑喷了。	
楼主投了钱也不在意平台发展，肯定不会在意投的那点钱	0
额，投资了就要多关心啊！楼主心真大	0
网贷最怕每天一惊一乍的h	0
你真聪明	
凡事弄清楚点好啊	0
感谢各位的提醒，^(*￣(oo)￣)^大家在新的一年里赚钱多多。	
下我一跳  虽然还没有投资	0
"首先先声明以下信息如有虚假本人愿意承担法律责任!
 本人在2016年8月14号在拍拍贷平台借款2750分六个月还款，
 每个月还款573，总共应还3450，拍拍贷收取300服务费实际到账2450
 到现在已还4个月还剩2个月没还，现在说说拍拍贷给投资人的年化利率11%！！！
 拍拍贷赚了多少我不知道，只知道我实际年化已经超过年化百分百！！
 最后只想说一句就算这样剩下的两个月我还会还上！为了1000块的服务费及利息还没到去法院告他地步
 因为本人永远坚信诚信是立足社会之本！而这些大部分的钱不是拍拍贷的，而是投资人的！！
 可拍拍贷可不在意这些，他只关心我们这样的人能给他带来更多的利益！
 最后感谢网贷天眼，因为有了这样一个曝光平台，才让那些黑势力平台有那么一点点害怕
 对于拍拍贷获得的那么多荣誉，和排名评级，我只想说：拍拍贷你不配！！
 最后希望投资人和借款人擦亮眼睛看清楚利率及各种费用再决定是否借款否则损害的是我们借款人和投资人的利益
 而不是他拍拍贷，一个躺着收着黑心钱和丧失诚信的平台！
 本人不接受拍拍贷任何和解，减息等行为！
 这件事也不会就这么完了！
 你们自己做的事后果也应该自己承担！
 法庭媒体见都不怕你们！
 跟楼主有同样遭遇的人可以留言一起维权"	
"中国互今行业刚起步就被拍拍贷这样的平台搞成这样值得探讨！
 还有很多问题我不想一一表明只能说过段时间媒体见-拍拍贷国内数一数二的高利贷借款平台-厉害的不行，如果我是网贷黑名单，又或者是入行黑名单-六个月1000块利息及服务费我也认了，但拍拍贷你真的太黑！就算逾期拍拍贷还是赚了300所以说逾期跟拍拍贷根本没有任何关系，他们只想推脱责任而他们永远都是赚的不仅提前赚了投资人的钱，还把高利贷的逾期结果全部加在借款人身上，所以能有百分之五十良好还款率都算不错了
 如果我们这些信用好的人不还损失的是谁，只有投资人，而且我们可能还要被拉进网贷黑名单！！所以只能曝光他，
 另外资料已经全部打印好，拍拍贷的工作人员麻烦你们了"	
"拍拍贷被骂了快10年，依然坚挺"	0
会玩的偷笑，不懂的在骂	
想找死，投拍拍。	0
"借2750还3450，相当于拍拍多收你700。如果考虑300服务费，是到手2450还3450，哪个年化100%以上了……
 当然，非常高是没错。"	
是每月本息还款，所以实际利率很高的，接近100%	
珍惜生命，远离情怀平台，人家靠吃手续费活着的，不需要风控	
可能你当时急需用钱而又借不到钱，才接受的高利息，平台也有你这样的客户是笑脸相迎，多多益善。因为根据你列表的还贷情况，应该知道，借款是2750元，而每月还款是573.25元，算一下就知道，6个月就要还3439.5元，加上300手续费，要么你当时没算。	
拍拍贷的逾期率非常高，因此只能提高手续费来弥补坏账的风险。	0
哈哈人家拍拍贷在之家给你解释和答复而且希望你进一步提供信息你怎么又跑到天眼来了？	
你个**，知道这么高那谁叫你借呢。借完又在这瞎逼逼	0
想找死，投拍拍。	1
拍拍贷借放通吃，投资人不兜底，借款人收高额服务费，稳挣不赔！好生意！不过拍拍也在每况愈下，投资人越来越少，返现一直没停！我敢断言，三年后有没有拍拍还是个问题，借钱可以不还，谁不借啊！	1
投拍拍，借拍拍，死的快	1
这种平台迟早出问题，看评论就知道，有些人TM就是只会选择接受现实。支持你楼主 搞死它 让它黑老百姓钱	1
"这个拍拍，好像排名很前啊
 唉
 估计中国P2P都这样
 还不算那些跑路的几千平台。。。。。。。。。。"	
他们就是靠这个赚钱的	0
楼主是个实在人，可能拍拍贷给的评级比较低导致这么高的费用，以后还是少碰信用贷	0
人家拍拍贷没给我处理逾期，我就又来这曝光了。哈哈。。。。。。	
